frame_number,timestamp,knee_angle,hip_angle,elbow_angle,shoulder_angle,wrist_angle,trunk_lean
0,0.0,137.52506093938982,130.83806426610684,121.43889116713794,43.60916280251101,143.793723538311,100.12986354714613
5,0.16666666666666666,128.41910694047726,115.98906438025857,86.33481632983403,21.05937493095115,151.80557147515927,102.2932137394297
10,0.3333333333333333,121.5190360900295,114.7087737879533,77.33465071329286,8.281433397544612,165.13093278269048,104.43035007591938
15,0.5,109.24608392145728,107.36448959136385,78.83034312855068,10.00521647894183,166.78473933651858,98.22816163366427
20,0.6666666666666666,106.41829810376345,102.69632856564425,79.91692129926254,9.874440765011432,161.2427734051571,95.91567175825718
25,0.8333333333333334,102.3676859791389,97.31992097521716,75.96146422869305,10.33854639102941,161.2595433706537,93.83118326715321
30,1.0,100.95877316941095,94.24365470290185,72.25985732558924,11.130425762617115,160.59006206185856,93.45389743647041
35,1.1666666666666667,99.63378889443301,94.32887926683367,71.7404375278272,13.136286880685796,162.2748510126106,93.9778061484758
40,1.3333333333333333,96.41143205198257,93.62016138820961,73.56222998934683,17.189427284392966,162.94650745755908,92.90624320929601
45,1.5,92.76290523274346,92.15378276125998,75.11012681013257,20.9685769148886,164.4341451427399,92.46281980106835
50,1.6666666666666667,92.17605226945497,92.9630129200706,81.47223085199731,28.246443015757112,160.93901548246322,93.45202082662908
55,1.8333333333333333,90.33715877249513,93.2347965200178,85.12197936221418,37.14911450098576,164.70014673081147,94.2226519887087
60,2.0,89.18282933168416,93.30610817074368,87.24416589723938,42.99863893752618,167.32478801191994,94.78534686695772
65,2.1666666666666665,86.19259573476063,94.88721801312467,91.79492496374056,52.723663199295395,167.2023557332391,95.05985517246256
70,2.3333333333333335,84.47451127491807,97.20599800432414,95.03367029653037,64.7807728476332,162.4404549401541,95.88828750239213
75,2.5,82.16322092405585,100.33229615092209,95.35259847494875,72.75323150502044,164.47825752492517,97.78383716985468
80,2.6666666666666665,82.72851710251118,101.48022161997355,93.71919181951095,80.11696372944763,168.6068568651375,100.62393850207974
85,2.8333333333333335,83.88795280883576,108.1328625321419,90.83650176529997,86.22498848441387,121.75544414477415,106.29394423952945
90,3.0,88.3183514285941,114.64986035534098,77.44415751699111,86.15956900031436,124.21617881385205,114.01137631748026
95,3.1666666666666665,94.15401680180148,122.88801193966158,69.80266382133004,86.55135278729905,131.24633300925314,122.1985869537742
100,3.3333333333333335,101.41033446294844,131.81860544496624,61.041134382317075,86.93648149175442,140.08286655232982,128.16768254381
105,3.5,108.80470363594448,137.31314708195035,53.015351567433626,88.96724880798082,147.70975539595267,132.7763971987393
110,3.6666666666666665,118.73788703784751,144.92905599217838,44.617503242869944,90.95460054840827,153.63693849848235,138.23130891049172
115,3.8333333333333335,128.7204163329853,155.40991828358267,38.97072581318317,87.21906736633179,159.39431306476297,143.07566204437168
120,4.0,134.94386592211336,159.41268155710276,41.20116029785123,91.30567464622872,158.29457104248894,149.52495388679944
125,4.166666666666667,145.34713857751254,164.39122672672403,45.22035906089282,93.67838712606094,157.08597797181386,156.1450177395568
130,4.333333333333333,154.12251009989075,168.99124529042848,50.789612824715086,96.75303053547205,156.49538953729763,160.52210147375035
135,4.5,153.02379747096032,171.05065215144134,55.11438712737567,94.63149136379762,162.8018953874575,160.42668069461644
140,4.666666666666667,155.92993671068575,174.9276847825412,69.08542291056017,96.03831930506482,157.32447309242508,162.40937076496155
145,4.833333333333333,159.69472800159983,177.56000925881355,90.01473187713871,100.02591020816683,140.4699084026681,164.63187519289409
150,5.0,162.1236549699284,177.48995677139325,110.72250203402733,104.56973404612843,138.56554331496835,165.1326707865142
155,5.166666666666667,162.75355427901493,177.38104903178936,134.72045700563015,109.81053492170024,171.7045056313849,164.32867848934774
