frame_number,timestamp,pose_detected,com_x,com_y,com_height,shooting_arc
0,0.0,True,0.3976704776287079,0.5469420552253723,0.5469420552253723,-6.091298854450364
5,0.16666666666666666,True,0.39841678738594055,0.5522496104240417,0.5522496104240417,-6.224809012954162
10,0.3333333333333333,True,0.41943006217479706,0.5779074430465698,0.5779074430465698,-7.407232300252038
15,0.5,True,0.4209458827972412,0.5926129519939423,0.5926129519939423,-6.585467266948529
20,0.6666666666666666,True,0.420073464512825,0.5864251554012299,0.5864251554012299,-12.457065328801013
25,0.8333333333333334,True,0.4180963784456253,0.5863348841667175,0.5863348841667175,-11.71666378495223
30,1.0,True,0.4169619232416153,0.5866609215736389,0.5866609215736389,-10.002995160746316
35,1.1666666666666667,True,0.4184558391571045,0.5886286795139313,0.5886286795139313,-7.426781497065921
40,1.3333333333333333,True,0.4185023307800293,0.5914659202098846,0.5914659202098846,-4.486467636493511
45,1.5,True,0.41933606564998627,0.5962289273738861,0.5962289273738861,-1.9525893239098362
50,1.6666666666666667,True,0.41915668547153473,0.5996728241443634,0.5996728241443634,-0.012922421837625537
55,1.8333333333333333,True,0.4191763252019882,0.6012945771217346,0.6012945771217346,6.251610796149178
60,2.0,True,0.4193711131811142,0.6022699177265167,0.6022699177265167,10.52081317689464
65,2.1666666666666665,True,0.4196612238883972,0.6036986410617828,0.6036986410617828,18.180051747275137
70,2.3333333333333335,True,0.4205978363752365,0.6048572957515717,0.6048572957515717,29.710004287233584
75,2.5,True,0.42132237553596497,0.6055071949958801,0.6055071949958801,40.4893686182392
80,2.6666666666666665,True,0.4224345237016678,0.6060819327831268,0.6060819327831268,50.12608096943364
85,2.8333333333333335,True,0.4256754219532013,0.6047208905220032,0.6047208905220032,64.27592998081396
90,3.0,True,0.42957551777362823,0.6003134250640869,0.6003134250640869,80.42106897887426
95,3.1666666666666665,True,0.43265746533870697,0.5917237997055054,0.5917237997055054,92.15071043266076
100,3.3333333333333335,True,0.4346997141838074,0.5789137482643127,0.5789137482643127,105.93651949179691
105,3.5,True,0.4388737082481384,0.566951721906662,0.566951721906662,117.39073167488058
110,3.6666666666666665,True,0.44010190665721893,0.5562514662742615,0.5562514662742615,128.74663723663497
115,3.8333333333333335,True,0.4462497979402542,0.5489058196544647,0.5489058196544647,135.9355569537065
120,4.0,True,0.446013867855072,0.5387413501739502,0.5387413501739502,138.02832071782618
125,4.166666666666667,True,0.44676244258880615,0.5331375896930695,0.5331375896930695,136.4386538569862
130,4.333333333333333,True,0.44621115922927856,0.5299674570560455,0.5299674570560455,134.7994352086466
135,4.5,True,0.44642940163612366,0.524991363286972,0.524991363286972,131.3050061178003
140,4.666666666666667,True,0.446392685174942,0.5216404795646667,0.5216404795646667,120.78943786594701
145,4.833333333333333,True,0.44657763838768005,0.5144475698471069,0.5144475698471069,104.32650737617091
150,5.0,True,0.4465316981077194,0.5081197619438171,0.5081197619438171,87.06548408886334
155,5.166666666666667,True,0.4487912058830261,0.5024836361408234,0.5024836361408234,68.62126005528252
